"month","crime","count"
2002-09-01,"OFFENSE INVOLVING CHILDREN",206
2002-09-01,"OTHER OFFENSE",2367
2002-09-01,"PROSTITUTION",492
2002-09-01,"PUBLIC PEACE VIOLATION",210
2002-09-01,"RITUALISM",2
2002-09-01,"ROBBERY",1719
2002-09-01,"SEX OFFENSE",206
2002-09-01,"STALKING",13
2002-09-01,"THEFT",8939
2002-09-01,"WEAPONS VIOLATION",421
2002-10-01,"ARSON",87
2002-10-01,"ASSAULT",2736
2002-10-01,"BATTERY",8042
2002-10-01,"BURGLARY",2285
2002-10-01,"CRIM SEXUAL ASSAULT",155
2002-10-01,"CRIMINAL DAMAGE",5160
2002-10-01,"CRIMINAL TRESPASS",1281
2002-10-01,"DECEPTIVE PRACTICE",1152
2002-10-01,"GAMBLING",80
2002-10-01,"HOMICIDE",57
2002-10-01,"INTERFERENCE WITH PUBLIC OFFICER",35
2002-10-01,"INTIMIDATION",37
2002-10-01,"KIDNAPPING",63
2002-10-01,"LIQUOR LAW VIOLATION",124
2002-10-01,"MOTOR VEHICLE THEFT",2259
2002-10-01,"NARCOTICS",4109
2002-10-01,"OBSCENITY",4
2002-10-01,"OFFENSE INVOLVING CHILDREN",218
2002-10-01,"OTHER NARCOTIC VIOLATION",1
2002-10-01,"OTHER OFFENSE",2869
2002-10-01,"PROSTITUTION",597
2002-10-01,"PUBLIC INDECENCY",1
2002-10-01,"PUBLIC PEACE VIOLATION",243
2002-10-01,"ROBBERY",1785
2002-10-01,"SEX OFFENSE",171
2002-10-01,"STALKING",21
2002-10-01,"THEFT",9187
2002-10-01,"WEAPONS VIOLATION",384
2002-11-01,"ARSON",69
2002-11-01,"ASSAULT",2183
2002-11-01,"BATTERY",6619
2002-11-01,"BURGLARY",2299
2002-11-01,"CRIM SEXUAL ASSAULT",133
2002-11-01,"CRIMINAL DAMAGE",4116
2002-11-01,"CRIMINAL TRESPASS",1079
2002-11-01,"DECEPTIVE PRACTICE",1036
2002-11-01,"GAMBLING",45
2002-11-01,"HOMICIDE",39
2002-11-01,"INTERFERENCE WITH PUBLIC OFFICER",28
2002-11-01,"INTIMIDATION",21
2002-11-01,"KIDNAPPING",59
2002-11-01,"LIQUOR LAW VIOLATION",120
2002-11-01,"MOTOR VEHICLE THEFT",2080
2002-11-01,"NARCOTICS",4047
